 ,  ,performance
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,0.0
6:00,recall,0.0
6:00,savedEffort,1.0
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,0.0
6:00,recall,0.0
6:00,savedEffort,1.0
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,0.5
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,0.5
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.5
6:00,precision,0.0
6:00,recall,0.0
6:00,savedEffort,1.0
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8571428571428571
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8571428571428571
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9166666666666666
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8571428571428571
6:00,precision,0.0
6:00,recall,0.0
6:00,savedEffort,1.0
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9230769230769231
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9285714285714286
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8888888888888888
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,0.14285714285714285
12:00,recall,1.0
12:00,savedEffort,0.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.6
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.5
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,0.3333333333333333
12:00,recall,1.0
12:00,savedEffort,0.5
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
